area,benthic,fishing,scapes,spp,vgpm,feature,relative_held
0.3,0.1,0.1,0.1,0.1,0.1,benthic,0.7608277847818461
0.3,0.1,0.1,0.1,0.1,0.1,fishing,0.8555623647612814
0.3,0.1,0.1,0.1,0.1,0.1,scapes,0.3829519315010651
0.3,0.1,0.1,0.1,0.1,0.1,spp,0.48001027417079867
0.3,0.1,0.1,0.1,0.1,0.1,vgpm,0.419484938214453
0.3,0.1,0.1,0.1,0.1,1,benthic,0.4678591621336677
0.3,0.1,0.1,0.1,0.1,1,fishing,0.7832302413923095
0.3,0.1,0.1,0.1,0.1,1,scapes,0.3507194236078416
0.3,0.1,0.1,0.1,0.1,1,spp,0.5028870864053868
0.3,0.1,0.1,0.1,0.1,1,vgpm,0.49509248416398616
0.3,0.1,0.1,0.1,0.1,10,benthic,0.4678591621336677
0.3,0.1,0.1,0.1,0.1,10,fishing,0.7832302413923095
0.3,0.1,0.1,0.1,0.1,10,scapes,0.3507194236078416
0.3,0.1,0.1,0.1,0.1,10,spp,0.5028870864053868
0.3,0.1,0.1,0.1,0.1,10,vgpm,0.49509248416398616
0.3,0.1,0.1,0.1,1,0.1,benthic,0.43700578851599303
0.3,0.1,0.1,0.1,1,0.1,fishing,0.8015807936855949
0.3,0.1,0.1,0.1,1,0.1,scapes,0.34924115946395673
0.3,0.1,0.1,0.1,1,0.1,spp,0.5831770603178797
0.3,0.1,0.1,0.1,1,0.1,vgpm,0.43256127014640033
0.3,0.1,0.1,0.1,1,1,benthic,0.33965455683033874
0.3,0.1,0.1,0.1,1,1,fishing,0.7356435588069993
0.3,0.1,0.1,0.1,1,1,scapes,0.34254655802533507
0.3,0.1,0.1,0.1,1,1,spp,0.5665480886792563
0.3,0.1,0.1,0.1,1,1,vgpm,0.48317934044574234
0.3,0.1,0.1,0.1,1,10,benthic,0.32069296933319397
0.3,0.1,0.1,0.1,1,10,fishing,0.7172686081124079
0.3,0.1,0.1,0.1,1,10,scapes,0.34029492510221876
0.3,0.1,0.1,0.1,1,10,spp,0.5510993328229091
0.3,0.1,0.1,0.1,1,10,vgpm,0.4950874470396532
0.3,0.1,0.1,0.1,10,0.1,benthic,0.43700578851599303
0.3,0.1,0.1,0.1,10,0.1,fishing,0.8015807936855949
0.3,0.1,0.1,0.1,10,0.1,scapes,0.34924115946395673
0.3,0.1,0.1,0.1,10,0.1,spp,0.5831770603178797
0.3,0.1,0.1,0.1,10,0.1,vgpm,0.43256127014640033
0.3,0.1,0.1,0.1,10,1,benthic,0.3304082402523086
0.3,0.1,0.1,0.1,10,1,fishing,0.7269898592137342
0.3,0.1,0.1,0.1,10,1,scapes,0.33973613120698243
0.3,0.1,0.1,0.1,10,1,spp,0.583166914051545
0.3,0.1,0.1,0.1,10,1,vgpm,0.4652909793742674
0.3,0.1,0.1,0.1,10,10,benthic,0.29715588740335613
0.3,0.1,0.1,0.1,10,10,fishing,0.6574407071666096
0.3,0.1,0.1,0.1,10,10,scapes,0.3375545830976749
0.3,0.1,0.1,0.1,10,10,spp,0.5669842810431426
0.3,0.1,0.1,0.1,10,10,vgpm,0.4860727037558305
0.3,0.1,0.1,1,0.1,0.1,benthic,0.7022855469270213
0.3,0.1,0.1,1,0.1,0.1,fishing,0.8148720002285907
0.3,0.1,0.1,1,0.1,0.1,scapes,0.43164493047844865
0.3,0.1,0.1,1,0.1,0.1,spp,0.43356165916515454
0.3,0.1,0.1,1,0.1,0.1,vgpm,0.387345443152232
0.3,0.1,0.1,1,0.1,1,benthic,0.4695488597265343
0.3,0.1,0.1,1,0.1,1,fishing,0.7469591735787667
0.3,0.1,0.1,1,0.1,1,scapes,0.4093733515072666
0.3,0.1,0.1,1,0.1,1,spp,0.4656139928980722
0.3,0.1,0.1,1,0.1,1,vgpm,0.464494123393919
0.3,0.1,0.1,1,0.1,10,benthic,0.3581827028421522
0.3,0.1,0.1,1,0.1,10,fishing,0.7212135738149271
0.3,0.1,0.1,1,0.1,10,scapes,0.37617392147137363
0.3,0.1,0.1,1,0.1,10,spp,0.4859170981802499
0.3,0.1,0.1,1,0.1,10,vgpm,0.49508512089027995
0.3,0.1,0.1,1,1,0.1,benthic,0.43076046986209965
0.3,0.1,0.1,1,1,0.1,fishing,0.7638180502059808
0.3,0.1,0.1,1,1,0.1,scapes,0.4008135405945883
0.3,0.1,0.1,1,1,0.1,spp,0.5510283263273723
0.3,0.1,0.1,1,1,0.1,vgpm,0.41609087144168605
0.3,0.1,0.1,1,1,1,benthic,0.3723846246180983
0.3,0.1,0.1,1,1,1,fishing,0.7343690947228361
0.3,0.1,0.1,1,1,1,scapes,0.38091203350355674
0.3,0.1,0.1,1,1,1,spp,0.5521091430361087
0.3,0.1,0.1,1,1,1,vgpm,0.46996792680129945
0.3,0.1,0.1,1,1,10,benthic,0.3287897131855935
0.3,0.1,0.1,1,1,10,fishing,0.7062475262797314
0.3,0.1,0.1,1,1,10,scapes,0.3614366463946047
0.3,0.1,0.1,1,1,10,spp,0.5367255381239965
0.3,0.1,0.1,1,1,10,vgpm,0.49510175787034166
0.3,0.1,0.1,1,10,0.1,benthic,0.35763878927523535
0.3,0.1,0.1,1,10,0.1,fishing,0.7351692691871784
0.3,0.1,0.1,1,10,0.1,scapes,0.37110173049377765
0.3,0.1,0.1,1,10,0.1,spp,0.5831740298993413
0.3,0.1,0.1,1,10,0.1,vgpm,0.42329626444274276
0.3,0.1,0.1,1,10,1,benthic,0.340765778404495
0.3,0.1,0.1,1,10,1,fishing,0.7140119148339985
0.3,0.1,0.1,1,10,1,scapes,0.3600886937329972
0.3,0.1,0.1,1,10,1,spp,0.583179303259055
0.3,0.1,0.1,1,10,1,vgpm,0.45411963972852476
0.3,0.1,0.1,1,10,10,benthic,0.3011133620148682
0.3,0.1,0.1,1,10,10,fishing,0.6573788357596718
0.3,0.1,0.1,1,10,10,scapes,0.3416377062935691
0.3,0.1,0.1,1,10,10,spp,0.5666606885107738
0.3,0.1,0.1,1,10,10,vgpm,0.48605329419869464
0.3,0.1,0.1,10,0.1,0.1,benthic,0.7022855469270213
0.3,0.1,0.1,10,0.1,0.1,fishing,0.8148720002285907
0.3,0.1,0.1,10,0.1,0.1,scapes,0.43164493047844865
0.3,0.1,0.1,10,0.1,0.1,spp,0.43356165916515454
