sid,area,benthic,fishing,scapes,spp,vgpm
1,0.3,0.1,0.1,0.1,0.1,0.1
2,0.3,0.1,0.1,0.1,0.1,1
3,0.3,0.1,0.1,0.1,0.1,10
4,0.3,0.1,0.1,0.1,1,0.1
5,0.3,0.1,0.1,0.1,1,1
6,0.3,0.1,0.1,0.1,1,10
7,0.3,0.1,0.1,0.1,10,0.1
8,0.3,0.1,0.1,0.1,10,1
9,0.3,0.1,0.1,0.1,10,10
10,0.3,0.1,0.1,1,0.1,0.1
11,0.3,0.1,0.1,1,0.1,1
12,0.3,0.1,0.1,1,0.1,10
13,0.3,0.1,0.1,1,1,0.1
14,0.3,0.1,0.1,1,1,1
15,0.3,0.1,0.1,1,1,10
16,0.3,0.1,0.1,1,10,0.1
17,0.3,0.1,0.1,1,10,1
18,0.3,0.1,0.1,1,10,10
19,0.3,0.1,0.1,10,0.1,0.1
20,0.3,0.1,0.1,10,0.1,1
21,0.3,0.1,0.1,10,0.1,10
22,0.3,0.1,0.1,10,1,0.1
23,0.3,0.1,0.1,10,1,1
24,0.3,0.1,0.1,10,1,10
25,0.3,0.1,0.1,10,10,0.1
26,0.3,0.1,0.1,10,10,1
27,0.3,0.1,0.1,10,10,10
28,0.3,0.1,1,0.1,0.1,0.1
29,0.3,0.1,1,0.1,0.1,1
30,0.3,0.1,1,0.1,0.1,10
31,0.3,0.1,1,0.1,1,0.1
32,0.3,0.1,1,0.1,1,1
33,0.3,0.1,1,0.1,1,10
34,0.3,0.1,1,0.1,10,0.1
35,0.3,0.1,1,0.1,10,1
36,0.3,0.1,1,0.1,10,10
37,0.3,0.1,1,1,0.1,0.1
38,0.3,0.1,1,1,0.1,1
39,0.3,0.1,1,1,0.1,10
40,0.3,0.1,1,1,1,0.1
41,0.3,0.1,1,1,1,1
42,0.3,0.1,1,1,1,10
43,0.3,0.1,1,1,10,0.1
44,0.3,0.1,1,1,10,1
45,0.3,0.1,1,1,10,10
46,0.3,0.1,1,10,0.1,0.1
47,0.3,0.1,1,10,0.1,1
48,0.3,0.1,1,10,0.1,10
49,0.3,0.1,1,10,1,0.1
50,0.3,0.1,1,10,1,1
51,0.3,0.1,1,10,1,10
52,0.3,0.1,1,10,10,0.1
53,0.3,0.1,1,10,10,1
54,0.3,0.1,1,10,10,10
55,0.3,0.1,10,0.1,0.1,0.1
56,0.3,0.1,10,0.1,0.1,1
57,0.3,0.1,10,0.1,0.1,10
58,0.3,0.1,10,0.1,1,0.1
59,0.3,0.1,10,0.1,1,1
60,0.3,0.1,10,0.1,1,10
61,0.3,0.1,10,0.1,10,0.1
